tcid,theta,phi
257,1.7882929624579003,2.531034183745682
258,1.953861140072275,2.5310854168046997
259,2.1076735995917164,2.5311132204352482
260,2.212745799437499,2.531160782551185
261,0.6072134566179597,2.705734109740618
262,0.7105292768035922,2.7055647187273895
263,0.8283962535708946,2.705607142716334
264,0.9615062847403156,2.7056467325702456
265,1.1087136085253892,2.705596884496766
266,1.2689092031875884,2.7055855707008885
267,1.4391358503638714,2.7055926869987412
268,1.6149492275376771,2.705343655686549
269,1.7882846466329307,2.705487503546913
270,1.9538368776480561,2.705558075872466
271,2.1076690656120003,2.7056217563553493
272,2.2127536201345106,2.705651399065953
273,0.607224862630289,2.880173912260898
274,0.7105309728821119,2.880127405407163
275,0.8283939792297402,2.8801206749541115
276,0.9615171297632858,2.880102668998749
277,1.1087235981331123,2.88004707496766
278,1.2689052625547215,2.880029716952383
279,1.4391442825962988,2.8799995990859193
280,1.6149485913332453,2.8798155092184645
281,1.7882782102474881,2.879976309078961
282,1.9538436751009052,2.88001396214111
283,2.1076639180141954,2.880086964172358
284,2.2127583319258437,2.880151472539554
285,0.607204187223545,3.054733977720623
286,0.7105343090248877,3.0546577450808012
287,0.8284104794590365,3.0546031463707077
288,0.9615212470524722,3.0545825003866836
289,1.1087161524857647,3.054513553003135
290,1.2689165745631046,3.0544517780147387
291,1.439138631148154,3.0546088427526605
292,1.6149501700818787,3.054369943732736
293,1.7882797001541626,3.0544139076095043
294,1.9538323097136456,3.0544598560755802
295,2.107646702349207,3.0545268472931784
296,2.2127411579936456,3.0546923811900686
297,0.607138810894386,-3.0538504081391147
298,0.710488671195086,-3.0539404642753674
299,0.828295172707327,-3.0539542136513504
300,0.9613642424468206,-3.053956664567912
301,1.1085844750422928,-3.053956461410241
302,1.2687867688640808,-3.05401421543548
303,1.4390799310220994,-3.0539440836087803
304,1.6149493812962037,-3.0542044375321487
305,1.788374323668025,-3.0540804349643533
306,1.9539691550856255,-3.054040359055114
307,2.107812874833492,-3.053966332662647
308,2.212864825210009,-3.053928924649581
309,0.6071471318878299,-2.8792996049596025
310,0.7105061648001133,-2.8794061140867293
311,0.8283335453310461,-2.8793842104877183
312,0.961407113107507,-2.8793756309581884
313,1.1085827374703152,-2.8794093669461054
314,1.2688036284794986,-2.8794065090077794
315,1.439087478897786,-2.879430322557642
316,1.614948577693321,-2.879651128655361
317,1.7883697267632481,-2.879457196724371
318,1.9539666897824262,-2.879451971391567
319,2.1077863082688473,-2.8793930035037
320,2.2128461050252106,-2.8793315748676713
321,0.6071620697105257,-2.704775838348831
322,0.7105093033648373,-2.704852972982675
323,0.8283308415282646,-2.7048323177768445
324,0.9614081817864816,-2.7048694197359
325,1.1086211236554178,-2.7048587263526995
326,1.2688135581144897,-2.704851865614909
327,1.4390974820144813,-2.7048518811327638
328,1.614948560186925,-2.705104173117669
329,1.7883531119976452,-2.704904805112676
330,1.9539288158972545,-2.7048850576862717
331,2.10777155436781,-2.7048063356246543
332,2.212842615310627,-2.704792861018662
333,0.6071728823345612,-2.5302497876979873
334,0.7105200847050595,-2.5303520118376723
335,0.8283524698458067,-2.5303088914126186
336,0.9614496054295099,-2.5303118919104546
337,1.1086386693387882,-2.530284322013278
338,1.2688437423154821,-2.530281367478685
339,1.4391101093899343,-2.530331317277434
340,1.61494965757726,-2.530617864590953
341,1.7883325910024668,-2.5303565916529576
342,1.9539202402406395,-2.5303435056731023
343,2.1077541297726534,-2.530305476806464
344,2.212805969864766,-2.530267891167277
345,0.6071867402596526,-2.355734850628731
346,0.7105355462162538,-2.3558240279726363
347,0.8283635533339638,-2.3557940754736424
348,0.9614698790854608,-2.355731776722261
349,1.1086743923794733,-2.3557760281689575
