37   18.0   90.0  0.0  0  -0.000958   0.44954900E-02  -0.11221500E-04   0.78524200E-07  -0.32266101E-09   0.40345401E-12   375.225  -0.10000000E-08
38   18.0   90.0  0.0  1  -0.000358   0.44472200E-02  -0.11171900E-04   0.94132103E-07  -0.44753500E-09   0.62834302E-12   337.582  -0.40000000E-08
38   18.0   90.0  0.0  0   0.005587   0.38720900E-02   0.17720400E-05  -0.17220301E-07  -0.33453999E-10   0.80422798E-13   297.751    0.0000000    
39   18.0   90.0  0.0  1  -0.001123   0.45403100E-02  -0.13306000E-04   0.10923700E-06  -0.47784500E-09   0.63701599E-12   346.171  -0.30000000E-08
39   18.0   90.0  0.0  0  -0.001087   0.45353400E-02  -0.13111100E-04   0.10699100E-06  -0.46878799E-09   0.62607898E-12   344.220  -0.15000000E-07
40   18.0   90.0  0.0  1  -0.001026   0.45313700E-02  -0.12849000E-04   0.10100100E-06  -0.42832400E-09   0.55446301E-12   354.906  -0.11000000E-07
40   18.0   90.0  0.0  0  -0.001212   0.45383700E-02  -0.12787700E-04   0.99036499E-07  -0.41926999E-09   0.54322400E-12   354.370    0.0000000    
41   18.0   90.0  0.0  1   0.007106   0.38085200E-02   0.20752100E-05  -0.17442200E-07  -0.30330099E-10   0.85746498E-13   369.538  -0.10000000E-08
41   18.0   90.0  0.0  0  -0.000969   0.45326400E-02  -0.12282400E-04   0.89498398E-07  -0.36495499E-09   0.45596500E-12   370.918  -0.55360000E-05
42   18.0   90.0  0.0  1   0.007753   0.37856900E-02   0.21608900E-05  -0.17765499E-07  -0.24386400E-10   0.74012100E-13   383.003  -0.13100000E-06
42   18.0   90.0  0.0  0   0.008285   0.37712700E-02   0.21807900E-05  -0.17119499E-07  -0.29362101E-10   0.83823799E-13   345.746  -0.60890000E-05
43   18.0   90.0  0.0  1  -0.002726   0.46848900E-02  -0.15497200E-04   0.11216000E-06  -0.42297299E-09   0.51022199E-12   343.989  -0.14120000E-05
